order_id,customer_id,sku,category,price,qty,order_date,region
O00126,C0105,SKU043,food,1131,10,2026-06-02,chiang_mai
O00127,C0179,SKU044,food,318,6,2026-05-15,phuket
O00128,C0077,SKU016,clothing,673,9,2026-03-28,phuket
O00129,C0165,SKU039,home,606,8,2026-02-11,bangkok
O00130,C0053,SKU008,electronics,1869,3,2026-01-30,khon_kaen
O00131,C0120,SKU038,home,38,3,2026-02-18,khon_kaen
O00132,C0155,SKU007,electronics,1621,5,2026-03-10,bangkok
O00133,C0037,SKU001,electronics,1036,6,2026-04-09,bangkok
O00134,C0187,SKU014,clothing,2000,9,2026-06-19,chiang_mai
O00135,C0190,SKU006,electronics,1237,5,2026-02-15,chiang_mai
O00136,C0060,SKU011,clothing,1899,10,2026-06-12,bangkok
O00137,C0027,SKU032,home,130,66,2026-04-19,khon_kaen
O00138,C0166,SKU027,books,1115,8,2026-03-15,chiang_mai
O00139,C0129,SKU021,books,575,7,2026-05-03,khon_kaen
O00140,C0074,SKU018,clothing,1150,10,2026-01-12,bangkok
O00141,C0012,SKU045,food,164,7,2026-05-19,bangkok
O00142,C0195,SKU032,home,122,1,2026-06-17,khon_kaen
O00143,C0018,SKU019,clothing,1561,4,2026-04-12,bangkok
O00144,C0190,SKU019,clothing,1940,7,2026-03-12,khon_kaen
O00145,C0195,SKU022,books,1802,1,2026-03-17,chiang_mai
O00146,C0034,SKU016,clothing,730,2,2026-03-30,phuket
O00147,C0182,SKU048,food,933,1,2026-03-01,khon_kaen
O00148,C0178,SKU029,books,602,2,2026-01-31,chiang_mai
O00149,C0190,SKU044,food,311,2,2026-04-27,khon_kaen
O00150,C0080,SKU026,books,1845,9,2026-06-17,phuket
O00151,C0071,SKU008,electronics,1690,5,2026-03-21,bangkok
O00152,C0004,SKU027,books,1131,9,2026-05-22,bangkok
O00153,C0004,SKU034,home,264,3,2026-06-17,phuket
O00154,C0012,SKU038,home,37,1,2026-03-23,chiang_mai
O00155,C0105,SKU038,home,35,6,2026-06-21,phuket
O00156,C0159,SKU042,food,458,3,2026-02-28,chiang_mai
O00157,C0133,SKU006,electronics,1347,6,2026-06-14,khon_kaen
O00158,C0156,SKU049,food,1312,1,2026-01-29,chiang_mai
O00159,C0127,SKU012,clothing,212,1,2026-04-26,chiang_mai
O00160,C0127,SKU029,books,560,5,2026-01-23,phuket
O00161,C0179,SKU014,clothing,2000,9,2026-05-23,phuket
O00162,C0118,SKU020,clothing,1761,7,2026-02-10,khon_kaen
O00163,C0171,SKU045,food,199,6,2026-02-05,khon_kaen
O00164,C0012,SKU030,books,203,6,2026-06-27,bangkok
O00165,C0023,SKU031,home,1582,5,2026-03-10,bangkok
O00166,C0099,SKU030,books,191,5,2026-02-05,phuket
O00167,C0069,SKU019,clothing,1649,1,2026-01-18,chiang_mai
O00168,C0123,SKU021,books,481,7,2026-02-08,khon_kaen
O00169,C0082,SKU007,electronics,1546,6,2026-06-30,chiang_mai
O00170,C0025,SKU018,clothing,1012,3,2026-05-28,bangkok
O00171,C0191,SKU045,food,161,1,2026-04-21,bangkok
O00172,C0167,SKU019,clothing,1870,7,2026-03-18,bangkok
O00173,C0087,SKU042,food,425,6,2026-04-24,chiang_mai
O00174,C0167,SKU042,food,457,3,2026-02-03,khon_kaen
O00175,C0022,SKU008,electronics,1899,7,2026-03-15,khon_kaen
O00176,C0008,SKU008,electronics,1652,6,2026-03-09,khon_kaen
O00177,C0166,SKU031,home,1457,5,2026-06-14,chiang_mai
O00178,C0044,SKU040,home,196,5,2026-05-21,chiang_mai
O00179,C0096,SKU029,books,513,10,2026-05-18,bangkok
O00180,C0115,SKU009,electronics,1458,2,2026-02-24,bangkok
O00181,C0100,SKU028,books,948,3,2026-03-31,phuket
O00182,C0006,SKU001,electronics,1081,2,2026-02-22,chiang_mai
O00183,C0174,SKU017,clothing,1190,1,2026-01-05,chiang_mai
O00184,C0173,SKU047,food,552,7,2026-05-08,chiang_mai
O00185,C0059,SKU005,electronics,322,6,2026-04-27,bangkok
O00186,C0168,SKU025,books,307,7,2026-04-13,bangkok
O00187,C0109,SKU039,home,570,6,2026-01-19,khon_kaen
O00188,C0081,SKU047,food,591,9,2026-03-29,khon_kaen
O00189,C0199,SKU019,clothing,1865,4,2026-01-05,chiang_mai
O00190,C0129,SKU029,books,610,7,2026-01-28,chiang_mai
O00191,C0130,SKU019,clothing,1976,3,2026-02-27,khon_kaen
O00192,C0047,SKU022,books,1682,8,2026-04-23,chiang_mai
O00193,C0043,SKU006,electronics,1374,8,2026-04-18,phuket
O00194,C0180,SKU025,books,335,5,2026-03-19,bangkok
O00195,C0166,SKU039,home,632,5,2026-05-27,khon_kaen
O00196,C0013,SKU039,home,560,9,2026-06-29,phuket
O00197,C0152,SKU014,clothing,1906,9,2026-03-28,chiang_mai
O00198,C0112,SKU043,food,1247,6,2026-01-02,chiang_mai
O00199,C0182,SKU038,home,35,8,2026-01-26,khon_kaen
O00200,C0176,SKU006,electronics,1207,1,2026-04-14,khon_kaen
O00201,C0042,SKU010,electronics,476,5,2026-05-31,chiang_mai
O00202,C0043,SKU005,electronics,308,9,2026-02-13,chiang_mai
O00203,C0164,SKU008,electronics,1532,1,2026-01-20,bangkok
O00204,C0098,SKU050,food,765,3,2026-06-03,khon_kaen
O00205,C0147,SKU041,food,214,5,2026-06-06,khon_kaen
O00206,C0003,SKU015,clothing,321,5,2026-03-25,phuket
O00207,C0135,SKU002,electronics,1166,5,2026-04-17,phuket
O00208,C0053,SKU012,clothing,227,3,2026-02-10,chiang_mai
O00209,C0144,SKU044,food,291,9,2026-03-31,khon_kaen
O00210,C0027,SKU036,home,408,2,2026-03-19,bangkok
O00211,C0066,SKU034,home,266,1,2026-01-25,khon_kaen
O00212,C0129,SKU033,home,468,6,2026-04-03,bangkok
O00213,C0105,SKU038,home,33,5,2026-06-06,phuket
O00214,C0146,SKU002,electronics,1222,1,2026-01-07,khon_kaen
O00215,C0106,SKU006,electronics,1160,4,2026-05-06,chiang_mai
O00216,C0061,SKU033,home,446,1,2026-06-19,phuket
O00217,C0012,SKU015,clothing,310,3,2026-04-13,phuket
O00218,C0017,SKU041,food,240,5,2026-01-26,khon_kaen
O00219,C0063,SKU036,home,480,3,2026-04-22,bangkok
O00220,C0190,SKU015,clothing,377,5,2026-06-25,khon_kaen
O00221,C0116,SKU045,food,186,4,2026-05-13,phuket
O00222,C0131,SKU037,home,1696,2,2026-04-30,bangkok
O00223,C0156,SKU037,home,1755,6,2026-03-20,phuket
O00224,C0127,SKU011,clothing,1867,9,2026-03-27,bangkok
O00225,C0133,SKU040,home,176,7,2026-02-17,phuket
O00226,C0131,SKU030,books,249,10,2026-04-07,bangkok
O00227,C0080,SKU023,books,965,5,2026-01-12,phuket
O00228,C0071,SKU038,home,34,2,2026-03-29,khon_kaen
O00229,C0035,SKU048,food,995,9,2026-01-08,khon_kaen
O00230,C0066,SKU048,food,959,3,2026-04-02,chiang_mai
O00231,C0005,SKU027,books,1106,2,2026-02-22,khon_kaen
O00232,C0191,SKU038,home,31,5,2026-06-05,phuket
O00233,C0025,SKU047,food,665,2,2026-02-04,bangkok
O00234,C0128,SKU022,books,1997,3,2026-05-07,khon_kaen
O00235,C0141,SKU012,clothing,227,5,2026-02-09,phuket
O00236,C0063,SKU017,clothing,1012,8,2026-05-09,phuket
O00237,C0075,SKU020,clothing,2000,1,2026-06-28,chiang_mai
O00238,C0054,SKU024,books,1695,10,2026-05-12,phuket
O00239,C0102,SKU040,home,168,10,2026-02-01,bangkok
O00240,C0121,SKU027,books,1008,8,2026-04-13,phuket
O00241,C0140,SKU006,electronics,1421,10,2026-03-29,chiang_mai
O00242,C0052,SKU033,home,372,1,2026-04-16,bangkok
O00243,C0180,SKU020,clothing,1788,3,2026-05-12,phuket
O00244,C0139,SKU027,books,1057,7,2026-03-11,khon_kaen
O00245,C0033,SKU020,clothing,2000,10,2026-01-06,phuket
O00246,C0061,SKU032,home,116,10,2026-05-28,phuket
O00247,C0160,SKU042,food,441,1,2026-03-30,bangkok
O00248,C0085,SKU006,electronics,1467,5,2026-04-07,chiang_mai
O00249,C0107,SKU042,food,480,9,2026-06-12,bangkok
O00250,C0011,SKU035,home,446,9,2026-03-01,khon_kaen
O00251,C0165,SKU047,food,628,8,2026-01-23,chiang_mai
O00252,C0189,SKU023,books,1014,2,2026-05-31,khon_kaen
O00253,C0100,SKU002,electronics,1276,6,2026-04-21,chiang_mai
O00254,C0012,SKU011,clothing,1697,5,2026-02-01,phuket
O00255,C0174,SKU024,books,1629,9,2026-05-07,khon_kaen
O00256,C0059,SKU006,electronics,1483,4,2026-01-30,khon_kaen
O00257,C0170,SKU048,food,975,4,2026-03-12,bangkok
O00258,C0055,SKU041,food,220,2,2026-02-05,khon_kaen
O00259,C0078,SKU025,books,303,8,2026-01-28,chiang_mai
O00260,C0168,SKU036,home,488,5,2026-06-06,phuket
O00261,C0120,SKU041,food,188,3,2026-05-11,bangkok
O00262,C0113,SKU044,food,290,6,2026-02-21,bangkok
O00263,C0057,SKU003,electronics,349,3,2026-02-21,bangkok
O00264,C0143,SKU044,food,286,5,2026-03-02,bangkok
O00265,C0018,SKU045,food,173,7,2026-05-05,bangkok
O00266,C0183,SKU040,home,208,6,2026-01-30,khon_kaen
O00267,C0015,SKU031,home,1430,2,2026-05-08,chiang_mai
O00268,C0139,SKU001,electronics,1029,4,2026-06-01,chiang_mai
O00269,C0039,SKU006,electronics,1124,10,2026-05-08,phuket
O00270,C0087,SKU012,clothing,190,4,2026-06-20,khon_kaen
O00271,C0154,SKU042,food,458,8,2026-06-14,phuket
O00272,C0105,SKU033,home,353,7,2026-04-19,bangkok
O00273,C0150,SKU015,clothing,412,2,2026-03-21,bangkok
O00274,C0009,SKU011,clothing,1599,2,2026-03-22,phuket
O00275,C0137,SKU015,clothing,310,8,2026-05-03,phuket
O00276,C0058,SKU035,home,362,3,2026-01-19,bangkok
O00277,C0075,SKU004,electronics,1348,7,2026-06-24,khon_kaen
O00278,C0144,SKU023,books,1114,2,2026-03-16,bangkok
O00279,C0192,SKU018,clothing,970,5,2026-06-08,chiang_mai
O00280,C0160,SKU017,clothing,1343,5,2026-04-23,bangkok
O00281,C0048,SKU014,clothing,2000,4,2026-01-14,phuket
O00282,C0154,SKU033,home,428,1,2026-01-31,bangkok
O00283,C0010,SKU031,home,1223,1,2026-06-22,bangkok
O00284,C0036,SKU043,food,1479,2,2026-03-31,bangkok
O00285,C0056,SKU016,clothing,724,118,2026-01-13,chiang_mai
O00286,C0060,SKU002,electronics,1329,6,2026-06-01,phuket
O00287,C0046,SKU048,food,1081,5,2026-03-20,phuket
O00288,C0023,SKU025,books,332,3,2026-04-23,bangkok
O00289,C0161,SKU019,clothing,1700,1,2026-01-16,khon_kaen
O00290,C0015,SKU019,clothing,9089,4,2026-02-12,khon_kaen
O00291,C0164,SKU026,books,1707,6,2026-02-08,khon_kaen
O00292,C0061,SKU020,clothing,1761,1,2026-04-03,phuket
O00293,C0109,SKU008,electronics,1509,7,2026-01-14,chiang_mai
O00294,C0061,SKU047,food,567,9,2026-01-15,chiang_mai
O00295,C0044,SKU006,electronics,1409,4,2026-05-02,chiang_mai
O00296,C0034,SKU008,electronics,1832,4,2026-03-12,chiang_mai
O00297,C0032,SKU027,books,856,9,2026-05-23,chiang_mai
O00298,C0100,SKU004,electronics,1656,1,2026-06-04,khon_kaen
O00299,C0009,SKU044,food,314,2,2026-06-06,khon_kaen
O00300,C0120,SKU027,books,963,10,2026-05-05,bangkok
O00301,C0102,SKU033,home,423,7,2026-06-03,phuket
O00302,C0037,SKU017,clothing,1232,6,2026-05-13,khon_kaen
O00303,C0048,SKU027,books,1011,10,2026-01-04,phuket
O00304,C0036,SKU032,home,115,9,2026-04-03,bangkok
O00305,C0191,SKU014,clothing,1736,5,2026-06-09,khon_kaen
O00306,C0168,SKU035,home,420,9,2026-01-04,bangkok
O00307,C0143,SKU010,electronics,575,2,2026-05-16,khon_kaen
O00308,C0172,SKU050,food,893,9,2026-04-04,khon_kaen
O00309,C0083,SKU047,food,611,10,2026-03-01,bangkok
O00310,C0025,SKU042,food,437,4,2026-04-11,phuket
O00311,C0143,SKU050,food,841,9,2026-04-26,chiang_mai
O00312,C0053,SKU031,home,1283,2,2026-05-09,bangkok
O00313,C0032,SKU025,books,363,9,2026-06-29,khon_kaen
O00314,C0076,SKU049,food,1495,4,2026-05-05,phuket
O00315,C0047,SKU015,clothing,313,6,2026-04-09,bangkok
O00316,C0095,SKU015,clothing,339,7,2026-06-04,phuket
O00317,C0107,SKU024,books,1672,9,2026-03-29,khon_kaen
O00318,C0009,SKU018,clothing,984,5,2026-01-11,khon_kaen
O00319,C0003,SKU006,electronics,1154,2,2026-06-14,bangkok
O00320,C0040,SKU020,clothing,2000,1,2026-03-09,khon_kaen
O00321,C0047,SKU026,books,1741,4,2026-02-06,khon_kaen
O00322,C0053,SKU005,electronics,303,9,2026-06-13,bangkok
O00323,C0017,SKU037,home,1584,6,2026-06-29,khon_kaen
O00324,C0053,SKU007,electronics,1468,3,2026-01-10,bangkok
O00325,C0118,SKU010,electronics,500,5,2026-05-04,khon_kaen
O00326,C0127,SKU026,books,2000,6,2026-03-19,chiang_mai
O00327,C0078,SKU020,clothing,1956,6,2026-06-01,phuket
O00328,C0082,SKU050,food,964,7,2026-06-21,bangkok
O00329,C0064,SKU038,home,37,10,2026-06-02,khon_kaen
O00330,C0144,SKU048,food,1088,5,2026-05-22,phuket
O00331,C0077,SKU047,food,619,4,2026-05-18,phuket
O00332,C0141,SKU033,home,419,9,2026-05-04,phuket
O00333,C0034,SKU005,electronics,266,2,2026-03-03,chiang_mai
O00334,C0013,SKU030,books,241,4,2026-06-09,chiang_mai
O00335,C0025,SKU028,books,859,6,2026-06-08,khon_kaen
O00336,C0127,SKU011,clothing,1951,1,2026-01-09,khon_kaen
O00337,C0031,SKU013,clothing,1047,5,2026-03-22,phuket
O00338,C0126,SKU032,home,104,7,2026-05-01,chiang_mai
O00339,C0122,SKU031,home,1276,1,2026-04-20,bangkok
O00340,C0169,SKU011,clothing,1594,1,2026-02-16,chiang_mai
O00341,C0152,SKU002,electronics,1240,5,2026-05-15,bangkok
O00342,C0007,SKU031,home,1323,10,2026-06-02,chiang_mai
O00343,C0015,SKU031,home,1417,9,2026-02-01,bangkok
O00344,C0009,SKU032,home,135,3,2026-05-16,khon_kaen
O00345,C0063,SKU038,home,30,7,2026-06-23,chiang_mai
O00346,C0076,SKU036,home,490,2,2026-06-24,phuket
O00347,C0036,SKU036,home,489,6,2026-05-25,phuket
O00348,C0027,SKU017,clothing,1030,1,2026-05-04,chiang_mai
O00349,C0039,SKU045,food,169,4,2026-05-17,bangkok
O00350,C0105,SKU046,food,1194,7,2026-03-07,bangkok
O00351,C0075,SKU037,home,1395,1,2026-03-12,phuket
O00352,C0109,SKU009,electronics,1348,3,2026-02-12,chiang_mai
O00353,C0093,SKU029,books,536,1,2026-02-26,phuket
O00354,C0120,SKU002,electronics,1200,9,2026-06-11,bangkok
O00355,C0137,SKU028,books,866,4,2026-05-04,phuket
O00356,C0127,SKU033,home,469,5,2026-01-27,chiang_mai
O00357,C0064,SKU005,electronics,297,3,2026-01-13,chiang_mai
O00358,C0066,SKU020,clothing,1896,3,2026-02-06,phuket
O00359,C0113,SKU020,clothing,2000,7,2026-05-25,khon_kaen
O00360,C0002,SKU010,electronics,475,4,2026-06-05,bangkok
O00361,C0126,SKU048,food,1107,4,2026-06-24,bangkok
O00362,C0023,SKU030,books,225,5,2026-04-04,bangkok
O00363,C0120,SKU050,food,803,4,2026-05-23,phuket
O00364,C0134,SKU035,home,337,8,2026-04-05,khon_kaen
O00365,C0190,SKU009,electronics,1218,5,2026-03-02,bangkok
O00366,C0078,SKU013,clothing,1105,2,2026-03-22,chiang_mai
O00367,C0162,SKU036,home,397,1,2026-05-19,bangkok
O00368,C0091,SKU035,home,378,1,2026-04-27,phuket
O00369,C0138,SKU029,books,561,5,2026-06-17,phuket
O00370,C0152,SKU033,home,442,10,2026-06-28,khon_kaen
O00371,C0084,SKU047,food,603,5,2026-03-29,chiang_mai
O00372,C0085,SKU043,food,1211,10,2026-03-11,phuket
O00373,C0066,SKU013,clothing,1154,6,2026-03-13,phuket
O00374,C0089,SKU007,electronics,1400,8,2026-04-24,phuket
O00375,C0035,SKU039,home,649,10,2026-01-10,bangkok
O00376,C0129,SKU014,clothing,1643,10,2026-05-27,khon_kaen
O00377,C0119,SKU033,home,446,8,2026-06-09,phuket
O00378,C0107,SKU050,food,787,8,2026-03-20,phuket
O00379,C0083,SKU021,books,568,5,2026-04-22,bangkok
O00380,C0196,SKU037,home,1672,9,2026-02-09,bangkok
O00381,C0193,SKU021,books,497,10,2026-01-21,phuket
O00382,C0071,SKU031,home,1267,6,2026-01-23,chiang_mai
O00383,C0067,SKU031,home,1187,7,2026-01-07,bangkok
O00384,C0153,SKU006,electronics,1143,8,2026-02-13,chiang_mai
O00385,C0111,SKU005,electronics,283,2,2026-04-29,chiang_mai
O00386,C0071,SKU050,food,915,4,2026-01-10,khon_kaen
O00387,C0020,SKU027,books,1003,4,2026-01-16,phuket
O00388,C0153,SKU008,electronics,1728,9,2026-04-16,phuket
O00389,C0198,SKU004,electronics,1363,2,2026-04-13,phuket
O00390,C0181,SKU006,electronics,1437,1,2026-02-25,phuket
O00391,C0124,SKU027,books,1130,10,2026-02-11,phuket
O00392,C0029,SKU049,food,1386,4,2026-06-19,chiang_mai
O00393,C0060,SKU015,clothing,391,1,2026-03-17,khon_kaen
O00394,C0068,SKU015,clothing,401,8,2026-03-20,phuket
O00395,C0164,SKU010,electronics,435,10,2026-04-25,phuket
O00396,C0007,SKU021,books,527,9,2026-05-04,khon_kaen
O00397,C0062,SKU032,home,115,1,2026-03-17,chiang_mai
O00398,C0048,SKU041,food,231,9,2026-01-28,bangkok
O00399,C0145,SKU027,books,925,7,2026-03-13,phuket
O00400,C0143,SKU026,books,1938,10,2026-01-22,phuket
O00401,C0084,SKU031,home,1480,10,2026-02-19,chiang_mai
O00402,C0197,SKU010,electronics,444,7,2026-06-29,bangkok
O00403,C0098,SKU031,home,1530,8,2026-05-21,khon_kaen
O00404,C0069,SKU049,food,1346,2,2026-04-02,khon_kaen
O00405,C0104,SKU017,clothing,1136,10,2026-06-14,chiang_mai
O00406,C0002,SKU008,electronics,1945,6,2026-02-02,phuket
O00407,C0075,SKU034,home,273,6,2026-04-01,chiang_mai
O00408,C0087,SKU001,electronics,969,3,2026-03-22,khon_kaen
O00409,C0020,SKU043,food,1199,6,2026-06-18,phuket
O00410,C0067,SKU018,clothing,1022,2,2026-01-02,bangkok
O00411,C0110,SKU029,books,652,4,2026-02-23,bangkok
O00412,C0008,SKU027,books,847,9,2026-06-24,bangkok
O00413,C0182,SKU033,home,360,8,2026-01-21,khon_kaen
O00414,C0176,SKU027,books,928,4,2026-01-19,bangkok
O00415,C0166,SKU048,food,1034,2,2026-05-07,bangkok
O00416,C0057,SKU023,books,1063,5,2026-02-12,phuket
O00417,C0011,SKU032,home,104,9,2026-06-13,khon_kaen
O00418,C0177,SKU036,home,489,6,2026-02-07,phuket
O00419,C0091,SKU025,books,330,7,2026-06-03,phuket
O00420,C0078,SKU006,electronics,1134,7,2026-01-28,bangkok
O00421,C0065,SKU023,books,905,9,2026-04-25,phuket
O00422,C0032,SKU031,home,1216,10,2026-02-05,phuket
O00423,C0168,SKU018,clothing,883,1,2026-05-09,phuket
O00424,C0075,SKU034,home,336,5,2026-02-09,bangkok
